season,date,home_team_id,away_team_id,home_score,away_score
Summer 2024,2024-05-20,373090,413940,3,11
Summer 2024,2024-05-20,408805,400000,7,8
Summer 2024,2024-05-20,374309,408805,4,5
Summer 2024,2024-05-20,400075,406393,5,12
Summer 2024,2024-05-20,373115,399855,1,19
Summer 2024,2024-05-22,411391,407016,12,14
Summer 2024,2024-05-22,413939,412921,13,0
Summer 2024,2024-05-29,411391,413939,8,16
Summer 2024,2024-05-29,407016,412921,9,8
Summer 2024,2024-05-29,407016,413939,4,5
Summer 2024,2024-06-03,413940,374309,6,5
Summer 2024,2024-06-03,373090,400000,3,11
Summer 2024,2024-06-03,400075,399855,12,10
Summer 2024,2024-06-03,406393,373115,12,4
Summer 2024,2024-06-05,412921,411391,2,15
Summer 2024,2024-06-10,374309,400000,6,8
Summer 2024,2024-06-10,400075,413940,9,8
Summer 2024,2024-06-10,373090,399855,6,7
Summer 2024,2024-06-10,408805,406393,5,4
Summer 2024,2024-06-10,373115,408805,4,17
Summer 2024,2024-06-12,412921,413939,4,8
Summer 2024,2024-06-12,407016,411391,10,4
Summer 2024,2024-06-17,373115,374309,2,12
Summer 2024,2024-06-17,406393,413940,6,12
Summer 2024,2024-06-17,399855,373090,13,3
Summer 2024,2024-06-17,400075,400000,7,6
Summer 2024,2024-06-19,407016,412921,10,3
Summer 2024,2024-06-19,411391,413939,5,12
Summer 2024,2024-06-24,400000,413940,4,14
Summer 2024,2024-06-24,400075,408805,11,2
Summer 2024,2024-06-24,408805,399855,5,10
Summer 2024,2024-06-24,406393,373090,0,0
Summer 2024,2024-06-24,374309,373115,1,0
Summer 2024,2024-06-26,412921,413939,2,13
Summer 2024,2024-06-26,407016,411391,8,7
Summer 2024,2024-07-01,400075,400000,10,11
Summer 2024,2024-07-01,399855,413940,10,13
Summer 2024,2024-07-01,374309,373090,3,5
Summer 2024,2024-07-01,373115,406393,8,13
Summer 2024,2024-07-08,408805,400000,5,11
Summer 2024,2024-07-08,413940,408805,10,2
Summer 2024,2024-07-08,400075,399855,10,11
Summer 2024,2024-07-08,373090,373115,10,3
Summer 2024,2024-07-08,406393,374309,9,10
Summer 2024,2024-07-10,407016,411391,7,9
Summer 2024,2024-07-10,413939,412921,15,8
Summer 2024,2024-07-15,374309,373115,13,8
Summer 2024,2024-07-15,399855,400000,7,11
Summer 2024,2024-07-15,413940,400075,11,8
Summer 2024,2024-07-15,406393,373090,14,8
Summer 2024,2024-07-17,413939,407016,4,8
Summer 2024,2024-07-17,411391,412921,14,7
Summer 2024,2024-07-22,374309,406393,10,9
Summer 2024,2024-07-22,400075,408805,8,2
Summer 2024,2024-07-22,408805,399855,7,11
Summer 2024,2024-07-22,373115,373090,9,8
Summer 2024,2024-07-22,413940,400000,0,1
Summer 2024,2024-07-24,412921,407016,6,11
Summer 2024,2024-07-24,413939,411391,5,12
Summer 2024,2024-07-29,373115,406393,5,11
Summer 2024,2024-07-29,413940,399855,13,6
Summer 2024,2024-07-29,374309,373090,9,5
Summer 2024,2024-07-29,400000,400075,5,10
Summer 2024,2024-07-31,412921,411391,9,14
Summer 2024,2024-07-31,413939,407016,3,5
Summer 2024,2024-08-05,406393,373115,13,3
Summer 2024,2024-08-05,374309,373090,8,4
Summer 2024,2024-08-05,406393,374309,11,7
Summer 2024,2024-08-07,407016,412921,15,2
Summer 2024,2024-08-07,413939,411391,5,11
