Team Name,Division,Summer 2024,Fall 2024,Wiinter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026,Spring 2026,Summer 2026
Dragons,Gold,413940,452205,507977,527220,563479,592030,622458,654133,683883
Suicide Squad the Bakery,N/A,373115,,,,,,,,
Silver Rejects,N/A,406393,459794,,,,,,,
OSURH Plat,Platinum,412921,459079,507976,538116,564870,593793,,654100,678943
Lakeside Gold,N/A,408805,459612,507787,,,,622463,,
Heat,Platinum,413939,452197,507974,523959,563480,589367,,654097,678942
Happy Hour,Silver,374309,451277,502455,524657,553279,593064,,639624,683877
Flock,N/A,400000,459202,507735,538117,,593792,622461,,
Here For Beer,Platinum,407016,442803,507554,530790,562121,593496,,654099,672567
Dub-inskys,N/A,411391,,,,,,,,
Busch League,N/A,373090,447174,,,,,,,
OSURH Gold,N/A,400075,459080,507774,523219,555201,584920,622429,640930,
Bronze Rejects,N/A,,459332,,542276,,,,,
Bronze Free Agents,N/A,,450839,496474,,,,,,
Doom Penguins,Gold,399855,455035,507979,537355,560161,593384,622457,654132,680936
Battery Hockey,N/A,,459203,507975,527219,563481,,,,
Hotwheels,Gold,,,507978,537356,564867,593794,622459,654134,683884
Vipers,Bronze,,,507980,525849,555462,593065,,654486,683876
Chill,Bronze,,,495993,523958,560993,585524,620305,640494,678081
Busch League C,Silver,,,504475,523018,562747,593063,621655,640628,672603
Busch League B,Gold,,,504466,523009,562738,593054,621646,640637,672592
Whalers,N/A,,,508203,525850,,,,,
Team Team,Gold,,,,533385,564868,,622462,654137,683886
Lumberjacks,Silver,,,,537698,564468,587601,622456,654120,681003
Juicy Juicers,Gold,,,,537357,564869,593067,622460,654135,683885
Bua Nights,Bronze,,,,523352,555737,586722,620045,640288,672794
Whalers B,Bronze,,,,,570066,593337,622454,640773,680856
Whalers A,Silver,,,,,565375,593336,622455,639227,683879
Street Sweepers,N/A,,,,,564079,,,,
Venom,N/A,,,,,563478,,,,
Puffins,Silver,,,,,554190,587687,617650,654112,679080
SPS,Platinum,,,,,555558,,,,677298
Grim,N/A,,,,,,593066,622453,,
GerriHattricks,Bronze,,,,,,587556,618208,640188,680945
Lakeside Bronze,N/A,,,,,,,622452,,
Grim A,Silver,,,,,,,,654111,683878
Grim B,Bronze,,,,,,,,654110,683880
OSURH Scarlet,Gold,,,,,,,,,683882
OSURH Grey,Gold,,,,,,,,,672819
Busch League D,Bronze,,,,,,,,,672612
A5 Skills,Platinum,,,,,,,,,678561
